POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
29,-7.6138,243.9092,-38.966,4.6552,0.0,236.2954,-34.3108,201.9846
30,-8.2652,248.7978,-39.3345,4.6227,0.0,240.5326,-34.7118,205.82080000000002
31,-6.0017,231.6493,-41.6004,4.6714,0.0,225.6476,-36.929,188.7186
32,-6.6368,233.178,-37.5663,4.6525,0.0,226.5412,-32.913799999999995,193.6274
33,-7.2931,231.4477,-40.0455,4.6498,0.0,224.1546,-35.3957,188.75889999999998
34,-5.8902,233.1035,-40.015,4.6393,0.0,227.2133,-35.3757,191.8376
35,-7.3929,234.1495,-41.4612,4.6506,0.0,226.7566,-36.8106,189.946
36,-4.0599,242.9853,-36.4705,4.6597,0.0,238.9254,-31.8108,207.1146
37,-4.3769,240.4675,-36.4695,4.6726,0.0,236.0906,-31.796899999999997,204.2937
38,-7.8413,227.9245,-37.2489,4.6725,0.0,220.0832,-32.5764,187.50680000000003
39,-5.3149,241.3738,-37.5182,4.6622,0.0,236.0589,-32.856,203.2029
40,-5.9048,227.5421,-37.4295,4.6698,0.0,221.6373,-32.759699999999995,188.87760000000003
41,-6.6261,233.077,-38.6564,4.703,0.0,226.4509,-33.953399999999995,192.4975
42,-5.0695,240.1452,-35.5044,4.6307,0.0,235.07569999999998,-30.873699999999996,204.20199999999997
43,-8.0009,250.5611,-35.8184,4.5984,0.0,242.5602,-31.22,211.3402
44,-9.7473,233.0566,-39.4507,4.5987,0.0,223.3093,-34.852,188.45730000000003
45,-8.0042,246.3202,-37.7989,4.67,0.0,238.316,-33.1289,205.1871

DELTA Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-79.48450000000153,-30.678099999998295,72.07320000000036,-6.46469999999998,0.0,-110.16260000000528,65.60850000000023,-44.554100000021435
1,-74.83229999999972,-56.509900000012124,84.3080000000011,-6.445000000000026,0.0,-131.34220000002276,77.86300000000182,-53.47920000000457
2,-76.6166000000003,-53.15850000000748,81.33090000000016,-6.422399999999987,0.0,-129.77510000000416,74.90850000000107,-54.866600000001256
3,-76.42740000000046,-50.4659999999985,74.15110000000016,-6.290500000000016,0.0,-126.8934000000026,67.86060000000056,-59.03280000000021
4,-73.33420000000099,-38.180099999991285,77.13069999999995,-6.399500000000008,0.0,-111.5142999999868,70.73120000000023,-40.78309999997933
5,-74.61139999999959,-47.62020000000646,73.32949999999968,-6.456399999999987,0.0,-122.23160000001334,66.87309999999903,-55.35850000001432
6,-77.03499999999948,-48.24390000000196,82.86640000000043,-6.452499999999982,0.0,-125.27890000000144,76.41390000000047,-48.86499999999188
7,-73.04209999999989,-41.30960000000306,71.93300000000082,-6.520300000000024,0.0,-114.35169999999567,65.41270000000065,-48.93899999999502
8,-71.58889999999934,-52.57300000000339,78.97039999999895,-6.464299999999987,0.0,-124.16190000000273,72.50609999999875,-51.655800000013045
9,-68.40579999999987,-52.302099999996614,79.8667999999997,-6.4149000000000145,0.0,-120.70789999999101,73.45189999999982,-47.2560000000021
10,-71.8029000000002,-54.864499999990926,83.47349999999966,-6.551499999999983,0.0,-126.6673999999893,76.92199999999991,-49.74540000000212
11,-72.85069999999894,-45.24390000000059,76.89160000000012,-6.467199999999998,0.0,-118.09459999999771,70.42439999999925,-47.670200000007554
12,-72.19030000000052,-52.51589999999851,82.78499999999946,-6.449099999999995,0.0,-124.70619999999175,76.33589999999955,-48.37029999999038
13,-74.68490000000035,-48.75259999999929,76.08029999999872,-6.300400000000004,0.0,-123.43749999999602,69.77989999999843,-53.65759999998849
14,-74.57810000000003,-56.14420000001087,94.08809999999966,-6.375699999999999,0.0,-130.72230000001454,87.71239999999824,-43.009900000010845
15,-75.39189999999898,-56.104799999999244,77.22499999999975,-6.352199999999987,0.0,-131.49669999999458,70.87280000000064,-60.6238999999903
16,-68.36020000000006,-57.886199999996194,87.38359999999929,-6.332800000000012,0.0,-126.24639999998536,81.0507999999985,-45.1955999999814
17,-75.5834000000001,-52.5455999999987,75.49669999999978,-6.393700000000011,0.0,-128.12899999999334,69.10300000000068,-59.02599999999268
18,-66.05709999999974,-60.74609999999896,84.22870000000003,-6.488700000000007,0.0,-126.80319999999142,77.74000000000012,-49.06320000000585
19,-66.63810000000052,-56.389100000006835,82.87789999999934,-6.4985999999999935,0.0,-123.02719999999826,76.37929999999926,-46.64790000000443
20,-69.29780000000048,-51.67569999999182,87.00190000000036,-6.401999999999994,0.0,-120.9735000000014,80.59990000000002,-40.373600000001375
21,-79.30280000000018,-59.0004000000022,92.84719999999825,-6.378899999999987,0.0,-138.3031999999969,86.46829999999784,-51.83489999999725
